Year,ID Type,Primary Concentration,Secondary Concentration,Language,Secondary Languages,Programming Experience,Coding Frequency,Programming Comfort,Design Comfort,Computer Types,Operating Systems 1,Operating Systems 2,Operating Systems 3,Operating Systems 4,Gender,Age,State,Country,Combined Address
2010,,Economics,Computer Science,C,"C, HTML / CSS, PHP",Less than 6 months,Two or more times per month,2,,Laptop,Mac OS,,,,Male,18 to 24,FL,USA,
2010,,Sustainable Design,none,BASIC,Processing,Less than 6 months,Less than once per month,1,,Laptop,Windows XP,,,,Female,25 to 44,,Philippines,
2010,,Computer Science,N/A,C,"C, C++, Java, JavaScript, HTML / CSS, LISP, PHP, Python, SQL, VB / VBScript",1 to 3 years,Daily,5,,Laptop,Windows 7,,,,Male,18 to 24,NY,USA,
2010,,Sociology,Computer Science,C,PHP,Less than 6 months,Weekly,3,,"Desktop, Laptop",Mac OS,,,,Male,18 to 24,MA,USA,
2010,,Chemical and Physical Biology,N/A,C,"C++, JavaScript, HTML / CSS",Less than 6 months,Once per month,3,,Laptop,Windows Vista,,,,Female,18 to 24,PA,USA,
2010,,linguistics,Computer Science,C,"C, HTML / CSS, PHP",Less than 6 months,Two or more times per month,1,,Laptop,Mac OS,,,,Female,18 to 24,MA,USA,
2010,,ALM Information Technology,NA,PHP,"JavaScript, PHP, VB / VBScript",Less than 6 months,Less than once per month,3,,Laptop,Windows XP,,,,Male,,HI,USA,
2010,,Linguistics,"Mind, Brain, and Behavior",HTML / CSS,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Two or more times per month,2,,Laptop,Mac OS,,,,Female,18 to 24,FL,USA,
2010,,ALM Information Technology,Information Management Systems,Java,"C#, Java, HTML / CSS, PHP, SQL",6 months to 1 year,Weekly,4,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,BC,Canada,
2010,,Economics,Computer Science,C,"C, C++, HTML / CSS, PHP",Less than 6 months,Less than once per month,3,,Laptop,Mac OS,,,,Female,18 to 24,MI,USA,
2010,,Mathematics,N/A,C,"JavaScript, HTML / CSS",Less than 6 months,Once per month,3,,Laptop,Mac OS,,,,Female,18 to 24,MA,USA,
2010,,Biomedical Engineering,Computer Science,C,"JavaScript, HTML / CSS, PHP",Over 3 years,Two or more times per month,3,,Laptop,Windows 7,,,,Female,18 to 24,CA,USA,
2010,,Government,Computer Science,C,"JavaScript, HTML / CSS, PHP",1 to 3 years,Two or more times per month,4,,Laptop,Windows 7,,,,Female,18 to 24,CA,USA,
2010,,Economics,N/A,HTML / CSS,Processing,Less than 6 months,Weekly,3,,Desktop,Mac OS,,,,Male,25 to 44,,The Netherlands,
2010,,Undecided,N/A,C,HTML / CSS,Less than 6 months,Two or more times per month,1,,Laptop,Mac OS,,,,Female,18 to 24,CA,USA,
2010,,Music,Computer Science,Java,"C++, C#, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, Blaise",Over 3 years,Daily,5,,Laptop,Windows Vista,,,,Male,25 to 44,MA,USA,
2010,,Psychology,Computer Science,Ruby,"BASIC, C, Java, HTML / CSS, PHP, Ruby, SQL, Verilog",6 months to 1 year,Two or more times per month,4,,Laptop,Windows 7,,,,Male,18 to 24,CA,USA,
2010,,March I,N/A,VB / VBScript,No others,1 to 3 years,Weekly,3,,"Desktop, Laptop",Windows XP,,,,Female,25 to 44,CT,USA,
2010,,Software Engineering,N/A,Java,"BASIC, C, C++, Java, JavaScript, Perl, PHP, SQL",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP,,,,Male,,NY,USA,
2010,,Sociology,Computer Science,HTML / CSS,"C, C++, C#, Java, JavaScript, PHP, Ruby",Over 3 years,Weekly,5,,Laptop,Windows XP,,,,Male,18 to 24,TX,USA,
2010,,Information Technology Management,N/A,C#,"BASIC, C, C++, C#, Java, JavaScript, HTML / CSS, Perl, PHP, SQL, VB / VBScript, Unix shell script",Less than 6 months,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,NH,USA,
2010,,Physics,Mathematical Sciences,C,Objective C,1 to 3 years,Weekly,4,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,VA,USA,
2010,,Physics,Computer Science,C,"C, C#, Java, HTML / CSS",Over 3 years,Less than once per month,4,,Laptop,Windows XP,,,,Male,18 to 24,TX,USA,
2010,,Comptuer Science,N/A,C,"C, C++, C#, Java, HTML / CSS, LISP, Perl, Python, SQL, VB / VBScript",Over 3 years,Weekly,4,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,TX,USA,
2010,,Psychology,Computer Science,Java,"Java, HTML / CSS",1 to 3 years,Less than once per month,2,,Laptop,Windows 7,,,,Female,18 to 24,MI,USA,
2010,,Applied Physics,Business,C,matlab,Less than 6 months,Less than once per month,2,,Laptop,Windows 7,,,,Female,25 to 44,,China,
2010,,Organismic and Evolutionary Biology,History of Science,C,"HTML / CSS, PHP, SQL, FBML",6 months to 1 year,Once per month,2,,Laptop,Windows Vista,,,,Female,18 to 24,WA,USA,
2010,,Computer Science,Music,Python,"C, C++, LISP, Python, Scheme",1 to 3 years,Weekly,4,,Laptop,Windows XP,,,,Male,18 to 24,VA,USA,
2010,,ALM Information Technology,Information Management Systems,Java,"JavaScript, HTML / CSS, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,MA,USA,
2010,,ALM,Software Engineering,C++,"C, C++, C#, Java, JavaScript, HTML / CSS, PHP, Python, Ruby, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,ON,Canada,
2010,,Social Studies,Computer Science,PHP,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Less than once per month,3,,Laptop,Windows Vista,,,,Male,18 to 24,IL,USA,
2010,,Bioengineering,Computer Science,C,"C, C++, Java, HTML / CSS, LISP, MATLAB",Over 3 years,Two or more times per month,4,,Laptop,Windows XP,,,,Female,18 to 24,CA,USA,
2010,,ALM Information Technology,N/A,VB / VBScript,Java,Over 3 years,Once per month,4,,Laptop,Windows Vista,,,,Male,25 to 44,BC,Canada,
2010,,Chemistry,N/A,C,"JavaScript, HTML / CSS, PHP",Less than 6 months,Two or more times per month,2,,Laptop,Mac OS,,,,Male,18 to 24,MN,USA,
2010,,Psychology,Computer Science,C,HTML / CSS,6 months to 1 year,Two or more times per month,3,,Laptop,Mac OS,,,,Female,18 to 24,KY,USA,
2010,,Computer Science,N/A,Java,"Java, JavaScript, HTML / CSS, PHP, SQL",Over 3 years,Less than once per month,3,,Laptop,Windows XP,,,,Male,45 to 64,MA,USA,
2010,,Computer Science,N/A,C,"C, C++, Java, JavaScript, HTML / CSS, PHP, Ruby, SQL, VB / VBScript, Scheme, Objective-C",Over 3 years,Daily,5,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,,Lebanon,
2010,,Economics,Computer Science,C,"C++, LISP, Objective-C (actually my best language)",1 to 3 years,Less than once per month,3,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2010,,Computer Science,Neurobiology,C,"C++, JavaScript, HTML / CSS, Actionscript 3.0",Over 3 years,Daily,4,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2010,,Computer Science,N/A,C,"C++, Pascal",1 to 3 years,Once per month,4,,"Desktop, Laptop",Mac OS,,,,Male,18 to 24,,Spain,
2010,,VES,Computer Science,C,"BASIC, C++, HTML / CSS, Ruby, Scheme, Verilog",Over 3 years,Two or more times per month,3,,Laptop,Windows 7,,,,Male,18 to 24,MD,USA,
2010,,ALM Information Technology,N/A,HTML / CSS,"BASIC, C, C++, HTML / CSS, Some ruby",Over 3 years,Two or more times per month,3,,Laptop,Mac OS,,,,Male,25 to 44,IL,USA,
2010,,Economics,Computer Science,C,"BASIC, C, C++, HTML / CSS, PHP, SQL",Over 3 years,Less than once per month,4,,Laptop,Mac OS,,,,Female,18 to 24,IL,USA,
2010,,Neurobiology,Computer Science,C,"JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Daily,5,,Laptop,Mac OS,,,,Male,18 to 24,MN,USA,
2010,,Computer Science,History,Java,"Java, JavaScript, HTML / CSS, Python, SQL",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows 7,,,,Male,25 to 44,MA,USA,
2010,,Digital Media Arts and Sciences,N/A,HTML / CSS,JavaScript,Less than 6 months,Less than once per month,1,,Desktop,Windows 7,,,,Male,25 to 44,MA,USA,
2010,,"ALM Information Technology, Information Management Systems",N/A,PHP,"BASIC, C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, AppleScript, Pascal",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,,Slovenia,
2010,,Astronomy,Computer Science,C,"BASIC, C, C++, C#, Java, JavaScript, HTML / CSS, PHP, Python, SQL, VB / VBScript",Over 3 years,Daily,5,,"Desktop, Laptop",Windows Vista,,,,Male,25 to 44,MA,USA,
2010,,Computer Science,N/A,C++,"C, C++, HTML / CSS, LISP, PHP, Python, SQL, VB / VBScript",1 to 3 years,Weekly,4,,Laptop,Mac OS,,,,Male,18 to 24,,Brazil,
2010,,Economics,Computer Science,C,"C, JavaScript, HTML / CSS, Python",1 to 3 years,Two or more times per month,3,,Laptop,Windows 7,,,,Female,18 to 24,CA,USA,
2010,,Digital Media,N/A,HTML / CSS,HTML / CSS,Less than 6 months,Less than once per month,1,,Laptop,Windows 7,,,,Male,18 to 24,MA,USA,
2010,,Computer Science,N/A,C,"C++, PHP, Python, SQL",Over 3 years,Two or more times per month,4,,Desktop,Windows XP,,,,Male,18 to 24,BC,Canada,
2010,,Computer Science,Management,Java,"C#, HTML / CSS, Python, SQL",Over 3 years,Once per month,5,,"Desktop, Laptop",Mac OS,,,,Male,25 to 44,NO,Norway,
2010,,Information Technology,N/A,Java,"C, Java, JavaScript, HTML / CSS, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,45 to 64,MA,USA,
2010,,Chemistry and Physics,Economics,C,C,Less than 6 months,Weekly,2,,Laptop,Windows Vista,,,,Male,18 to 24,CA,USA,
2010,,Computer Science,N/A,C,"C, JavaScript, HTML / CSS, PHP, Python, SQL, Ocaml",6 months to 1 year,Daily,4,,Laptop,Windows Vista,,,,Female,18 to 24,MN,USA,
2010,,Computer Science,N/A,C,"C, C++, PHP, SQL",Over 3 years,Daily,5,,Laptop,Windows XP,,,,Male,18 to 24,TX,USA,
2010,,Computer Science,Government,PHP,"C, C++, Java, JavaScript, HTML / CSS, Python, SQL",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,NY,USA,
2010,,Ph.D. in Biochemistry,N/A,Java,HTML / CSS,Over 3 years,Two or more times per month,4,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,MA,USA,
2010,,Economics,Computer Science,C,"C, Java, PHP, OCAML (cs51)",Less than 6 months,Weekly,4,,Laptop,Windows Vista,,,,Male,18 to 24,CA,USA,
2010,,"ALM Information Technology, Digital Media Arts & Sciences","ALM in IT, Digital Media Arts & Sciences",HTML / CSS,"JavaScript, HTML / CSS, Flash Actionscript",1 to 3 years,Less than once per month,2,,Laptop,Windows XP,,,,Male,25 to 44,MA,USA,
2010,,Computer Science,N/A,C,C,1 to 3 years,Once per month,3,,Laptop,Mac OS,,,,Male,18 to 24,MD,USA,
2010,,Literature,Computer Science,C,Python,6 months to 1 year,Less than once per month,1,,Laptop,Mac OS,,,,Female,18 to 24,CA,USA,
2010,,History,MBB,C,"C, JavaScript, HTML / CSS, Python",6 months to 1 year,Less than once per month,2,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,MA,USA,
2010,,Mechanical Engineering,N/A,C,HTML / CSS,Less than 6 months,Less than once per month,3,,Laptop,Windows Vista,,,,Male,18 to 24,MA,USA,
2010,,Computer Science,N/A,C,"C, C++, JavaScript, HTML / CSS, PHP, Python, SQL",1 to 3 years,Weekly,4,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,AL,Canada,
2010,,ALM Biotech,N/A,HTML / CSS,"C, JavaScript, PHP, SQL",Over 3 years,Once per month,2,,Laptop,Windows XP,,,,Female,45 to 64,MA,USA,
2010,,Computer Science,N/A,C,"JavaScript, HTML / CSS, SQL, VB / VBScript",6 months to 1 year,Less than once per month,3,,Laptop,Windows Vista,,,,Male,18 to 24,MA,USA,
2010,,Computer Science,N/A,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL, Actionscript",1 to 3 years,Weekly,4,,Laptop,Windows Vista,,,,Male,18 to 24,NY,USA,
2010,,Engineering Sciences,N/A,C,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,3,,Laptop,Mac OS,,,,Female,18 to 24,MA,USA,
2010,,Master in Information Technology with Mathematics and Computing,N/A,Java,"C, JavaScript, HTML / CSS, Python, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,MA,USA,
2010,,Computer Science,Economics,C,C,1 to 3 years,Less than once per month,2,,Laptop,Windows XP,,,,Male,18 to 24,NY,USA,
2010,,Information Sciences,N/A,C#,"C, C#, HTML / CSS, prolog",Over 3 years,Weekly,4,,"Desktop, Laptop",Windows XP,,,,,25 to 44,,Australia,
2010,,Social Studies,International Relations,HTML / CSS,"JavaScript, HTML / CSS",6 months to 1 year,Less than once per month,2,,Laptop,Windows 7,,,,Male,25 to 44,MD,USA,
2011,Harvard College,Computer Science,N/A,C,"C, JavaScript, HTML / CSS, LISP, PHP, Python, SQL",Over 3 years,Two or more times per month,4,,Laptop,Windows 7,,,,Male,18 to 24,CA,USA,
2011,DCE,Computer Science,Journalism,PHP,"C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, Objective-C",Over 3 years,Daily,5,,Laptop,Mac OS,,,,Male,25 to 44,CA,USA,
2011,DCE,ALM Software Engineering,"Yale ALB Ethics, Politics, Economics",C,"BASIC, C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, Objective-C",Over 3 years,Weekly,4,,Laptop,Mac OS,,,,Male,18 to 24,MN,USA,
2011,Harvard College,Economics,Computer Science,C,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,3,,Laptop,Windows 7,,,,Female,18 to 24,,Madagascar,
2011,Harvard College,Electrical and Computer Engineering,N/A,C++,"C, C#, HTML / CSS, LISP, Perl, PHP",1 to 3 years,Daily,4,,Desktop,Windows 7,,,,Male,18 to 24,,Lebanon,
2011,Harvard College,Computer Science,Chemistry,C,"JavaScript, HTML / CSS, PHP, Ruby, SQL",6 months to 1 year,Daily,4,,"Desktop, Laptop",Windows 7, Linux / Unix,,,Male,18 to 24,IN,USA,
2011,Harvard College,Computer Science,N/A,Python,"C, C++, C#, Java, JavaScript, HTML / CSS, LISP, PHP, Python, SQL",Over 3 years,Two or more times per month,5,,Laptop,Mac OS,,,,Male,18 to 24,NE,USA,
2011,Harvard College,Applied Mathematics,N/A,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Two or more times per month,1,,Laptop,Mac OS,,,,Female,18 to 24,,Philippines,
2011,Harvard College,ALM Information Technology / Digital Media,N/A,PHP,"BASIC, C, JavaScript, HTML / CSS, PHP, SQL, Scheme",Less than 6 months,Weekly,4,,"Desktop, Laptop",Windows XP, Mac OS,,,Female,25 to 44,MA,USA,
2011,Harvard College,Masters in Design Studies,N/A,C#,"C, HTML / CSS",Less than 6 months,Weekly,3,,"Desktop, Laptop",Windows Vista,,,,Male,25 to 44,CA,USA,
2011,DCE,IT,Applied Mathematics,C++,"BASIC, C, C++, C#, Java, JavaScript, HTML / CSS, Python, SQL, Oracle, F#, pascal",Over 3 years,Daily,5,,Desktop,Windows Vista,,,,Male,25 to 44,MA,USA,
2011,Harvard College,Computer Science,OEB?,Java,"BASIC, C, Java, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Weekly,4,,Laptop,Windows 7,,,,Male,18 to 24,IN,USA,
2011,Harvard College,Computer Science,N/A,C,"C, Java, JavaScript, HTML / CSS, PHP, Python, SQL",1 to 3 years,Daily,5,,Laptop,Windows 7,,,,Male,18 to 24,NJ,USA,
2011,Harvard College,Government,Computer Science,C,"C, C#, JavaScript, HTML / CSS, LISP, PHP, SQL",6 months to 1 year,Less than once per month,3,,Laptop,Mac OS,,,,Female,18 to 24,NY,USA,
2011,Harvard College,SM Computer Science,N/A,C#,"C, C++, Java, JavaScript, HTML / CSS, SQL, VB / VBScript",Over 3 years,Weekly,5,,Laptop,Mac OS,,,,Male,25 to 44,MA,USA,
2011,Harvard College,Computer Science,N/A,Python,"BASIC, C, JavaScript, HTML / CSS, LISP, PHP, Python, Ruby, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Linux,,,,Male,18 to 24,MA,USA,
2011,DCE,Information Management Systems,N/A,Python,"C, C++, Java, JavaScript, HTML / CSS, PHP, Python, SQL",Over 3 years,Daily,4,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,45 to 64,MA,USA,
2011,DCE,Extension,Extension,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Once per month,1,,Laptop,Mac OS,,,,Male,18 to 24,WI,USA,
2011,Harvard College,Mathematics,Computer Science,Java,"C, Java",Over 3 years,Once per month,4,,Laptop,Windows 7,,,,Male,18 to 24,PA,USA,
2011,DCE,Information Technology Management,None,SQL,"C, C++, JavaScript, HTML / CSS, Perl, PHP, SQL, PL/SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Mac OS, Linux / Unix,,,Male,25 to 44,FL,USA,
2011,Harvard College,Economics,Computer Science,C,"JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,3,,Laptop,Windows XP, Mac OS,,,Male,18 to 24,NY,USA,
2011,Harvard College,Computer Science,N/A,Python,"C, C#, Java, JavaScript, HTML / CSS, PHP, Python, Ruby, SQL",1 to 3 years,Daily,4,,"Desktop, Laptop",Windows 7, Mac OS,,,Male,18 to 24,CA,USA,
2011,Harvard College,Computer Science,N/A,HTML / CSS,"C, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Once per month,4,,Laptop,Windows 7, Mac OS,,,Male,18 to 24,NY,USA,
2011,Harvard College,Economics,Computer Science,PHP,"C, Java, HTML / CSS, PHP, SQL",6 months to 1 year,Two or more times per month,2,,"Desktop, Laptop",Windows XP, Mac OS,,,Female,18 to 24,"Baton Rouge, LA",USA,
2011,Harvard College,Master of Design Studies in Technology,N/A,C,C,Less than 6 months,Less than once per month,2,,Laptop,Windows 7,,,,Male,25 to 44,NJ,USA,
2011,DCE,Biotechnology,Bioinformatics,PHP,"Java, HTML / CSS, PHP, SQL",6 months to 1 year,Weekly,4,,"Desktop, Laptop",Windows 7, Mac OS,,,Male,25 to 44,MA,USA,
2011,Harvard College,Psychology,Economics,JavaScript,"C, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Weekly,3,,Laptop,Windows 7, Mac OS,,,Male,18 to 24,NY,USA,
2011,Harvard College,computer science,N/A,Java,"C, JavaScript, HTML / CSS",1 to 3 years,Weekly,4,,Laptop,Mac OS,,,,Female,18 to 24,CA,USA,
2011,DCE,ALM Information Technology  Software Engineering,N/A,Java,"C++, Python, VB / VBScript, Ocaml",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP, Windows 7, Linux,,Male,25 to 44,ON,Canada,
2011,DCE,Single course,N/A,VB / VBScript,Python,1 to 3 years,Less than once per month,3,,Laptop,Mac OS,,,,Male,25 to 44,MA,USA,
2011,Harvard College,Computer Science,N/A,PHP,"C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, Objective-C",Over 3 years,Daily,4,,Laptop,Windows 7, Mac OS,,,Male,,NY,USA,
2011,Harvard College,History,Computer Science,JavaScript,"C, Java, JavaScript, HTML / CSS, PHP",6 months to 1 year,Weekly,4,,Laptop,Mac OS,,,,Male,18 to 24,PA,USA,
2011,Harvard College,Computer Science,N/A,C++,"C, C#",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,25 to 44,CA,USA,
2011,DCE,Computer Science,N/A,PHP,"Java, JavaScript, HTML / CSS, PHP, SQL",Over 3 years,Weekly,5,,Laptop,Windows XP, Mac OS,,,Male,18 to 24,MA,USA,
2011,DCE,Information Technology Management,N/A,PHP,"HTML / CSS, SQL, VB / VBScript",Over 3 years,Once per month,4,,"Desktop, Laptop",Windows Vista, Windows 7,,,Male,25 to 44,TN,USA,
2011,Harvard College,Harvard Kennedy School,International development,HTML / CSS,Stata,Less than 6 months,Two or more times per month,1,,Laptop,Mac OS,,,,Male,25 to 44,MA,USA,
2011,Harvard College,mcb phd,Engineering,C,"C, Java, LISP, matlab, mathematica",Over 3 years,Less than once per month,3,,"Desktop, Laptop",Mac OS,,,,Male,25 to 44,CA,USA,
2011,Harvard College,Biomedical Engineering (Engineering Sciences SB),N/A,PHP,"C, C++, JavaScript, HTML / CSS, PHP, Ruby, SQL",1 to 3 years,Less than once per month,4,,Laptop,Mac OS,,,,Male,18 to 24,,Israel,
2011,Harvard College,Government,N/A,C,"C, HTML / CSS, PHP, SQL",6 months to 1 year,Less than once per month,3,,Laptop,Mac OS,,,,Male,18 to 24,NY,USA,
2011,Harvard College,Computer Science,N/A,BASIC,n/a,Less than 6 months,Less than once per month,1,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2011,Harvard College,Economics,Computer Science,HTML / CSS,"C, PHP, SQL",6 months to 1 year,Once per month,3,,Laptop,Mac OS,,,,Male,18 to 24,,Kenya,
2011,DCE,"MA, Digital Media Arts & Instructional Design",N/A,HTML / CSS,"JavaScript, PHP, SQL",Over 3 years,Daily,5,,Laptop,Mac OS,,,,Male,18 to 24,DC,USA,
2011,Harvard College,Physics,Computer Science,C++,"C#, Java, HTML / CSS, LISP, PHP, SQL, SML",Over 3 years,Weekly,5,,Laptop,Windows Vista, Windows 7,,,Male,18 to 24,CA,USA,
2011,DCE,Computer Science,N/A,HTML / CSS,"C, C++, Java, JavaScript",1 to 3 years,Weekly,3,,"Desktop, Laptop",Windows Vista, Mac OS,,,Female,Under 17,CO,USA,
2011,Harvard College,Applied Mathematics,Statistics,C,"C, Java, HTML / CSS",Less than 6 months,Weekly,2,,Laptop,Windows 7,,,,Male,18 to 24,OH,USA,
2011,DCE,ALM Digital Media,N/A,HTML / CSS,Java,Less than 6 months,Less than once per month,1,,"Desktop, Laptop",Windows XP, Windows 7,,,Female,45 to 64,MA,USA,
2011,Harvard College,Archaeology,OEB,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript",Over 3 years,Once per month,4,,Laptop,Windows 7, Linux / Unix,,,,,DC,USA,
2011,Harvard College,Applied Mathematics,Earth and Planetary Sciences,Java,"BASIC, C, Java",6 months to 1 year,Two or more times per month,3,,Laptop,Windows Vista,,,,Male,18 to 24,MA,USA,
2011,Harvard College,Computer Science,N/A,C++,"C, C++, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, Python, Ruby, SQL, sh, Processing",Over 3 years,Weekly,5,,Laptop,Linux,,,,Male,18 to 24,DC,USA,
2011,Harvard College,Computer Science,English,Java,"C, C++, JavaScript, PHP, Python, SQL",Over 3 years,Daily,5,,Laptop,Windows XP, Windows Vista,,,Male,18 to 24,MA,USA,
2011,Harvard College,Economics,Environmental Science and Public Policy,C,"C, JavaScript, HTML / CSS, PHP, Python, SQL",6 months to 1 year,Less than once per month,3,,"Desktop, Laptop",Windows XP, Windows 7,,,Male,18 to 24,MA,USA,
2011,DCE,not in a degree program (yet),N/A,Perl,"Java, AppleScript",Over 3 years,Weekly,4,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,25 to 44,MA,USA,
2011,Harvard College,Chemistry,VES: Studio,HTML / CSS,HTML / CSS,Less than 6 months,Less than once per month,2,,Laptop,Mac OS,,,,Male,18 to 24,DC,USA,
2011,DCE,Computer Science,N/A,Java,"HTML / CSS, Python",Less than 6 months,Less than once per month,2,,"Desktop, Laptop",Windows XP, Windows 7, Mac OS,,Male,25 to 44,MA,USA,
2011,Harvard College,History and Literature,Music,Python,"C, Java, JavaScript, HTML / CSS",Over 3 years,Once per month,4,,"Desktop, Laptop",Mac OS,,,,Male,18 to 24,MA,USA,
2011,DCE,IT Digital Media,N/A,HTML / CSS,"C, JavaScript, HTML / CSS, PHP, Ruby",6 months to 1 year,Daily,4,,Laptop,Mac OS,,,,Female,25 to 44,CA,USA,
2011,DCE,Digital Media,N/A,JavaScript,"C, C++, Java, JavaScript, HTML / CSS, Ruby, SQL",Over 3 years,Daily,5,,Laptop,Windows XP, Windows 7,,,Male,25 to 44,MA,USA,
2011,Harvard College,Applied Mathematics,Computer Science,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Two or more times per month,3,,Laptop,Mac OS,,,,Female,18 to 24,NJ,USA,
2011,DCE,N/A,N/A,Perl,"JavaScript, HTML / CSS, Perl, Python, SQL",1 to 3 years,Two or more times per month,3,,Laptop,Linux,,,,Male,25 to 44,MA,USA,
2011,Harvard College,Computer Science,Government,C,"HTML / CSS, PHP, SQL",Less than 6 months,Two or more times per month,2,,Laptop,Mac OS,,,,Female,18 to 24,,UK,
2011,Harvard College,Economics,Computer Science,HTML / CSS,"C, JavaScript, HTML / CSS, PHP, Python, SQL",Less than 6 months,Two or more times per month,2,,Laptop,Mac OS,,,,,,MN,USA,
2011,Harvard College,Government,Computer Science,C,"JavaScript, HTML / CSS, PHP",1 to 3 years,Weekly,4,,Laptop,Windows XP,,,,Male,18 to 24,CA,USA,
2011,Harvard College,Computer Science,N/A,Java,"Java, HTML / CSS, Python",Less than 6 months,Daily,2,,Laptop,Mac OS,,,,Male,25 to 44,N/A,USA,
2011,Harvard College,Applied Math Computer Science,N/A,C,"HTML / CSS, PHP",1 to 3 years,Less than once per month,2,,Laptop,Windows Vista,,,,Female,18 to 24,CA,USA,
2011,DCE,mis,N/A,JavaScript,"JavaScript, HTML / CSS, SQL",1 to 3 years,Weekly,3,,Laptop,Windows Vista,,,,,,VA,USA,
2011,Harvard College,Chemistry,Economics,C,"JavaScript, HTML / CSS, PHP",Less than 6 months,Weekly,3,,Laptop,Windows 7,,,,Male,18 to 24,,Hong Kong,
2011,Harvard College,Computer Science,Mathematics,Java,"C, C#, Java, JavaScript, HTML / CSS, Perl, PHP, SQL",Over 3 years,Daily,5,,Laptop,Mac OS,,,,Male,18 to 24,MI,USA,
2011,Harvard College,Computer Science,N/A,HTML / CSS,"C, C++, Java, JavaScript, HTML / CSS, PHP, Python, SQL, PLTScheme",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows 7, Mac OS, Linux,Female,18 to 24,MI,USA,
2011,DCE,Computer Science,N/A,BASIC,"BASIC, C, C++, Java, JavaScript, HTML / CSS, Perl, PHP, VB / VBScript, x86 assembly",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows 7, Mac OS, Linux,Male,25 to 44,MA,USA,
2011,Harvard College,Neurobiology,N/A,C,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Less than once per month,2,,Laptop,Mac OS,,,,Female,18 to 24,,China,
2011,Harvard College,Anthropology,N/A,HTML / CSS,"C, PHP",Less than 6 months,Once per month,1,,Laptop,Mac OS,,,,Female,18 to 24,NY,USA,
2011,Harvard College,East Asian Studies,Computer Science,Java,"C, Java, HTML / CSS",6 months to 1 year,Two or more times per month,2,,Laptop,Mac OS,,,,Male,18 to 24,MA,USA,
2011,Harvard College,Statistics,Applied Mathematics,C++,"HTML / CSS, LISP, Python, SQL",Over 3 years,Daily,4,,"Desktop, Laptop",Windows XP, Windows 7,,,Female,25 to 44,,Ukraine,
